Phase;T;RH;R;FF;RMM1;RMM2;RMM;Angle;Angle (+);PhaseManual
2;27.7;80;1.8;2;-1.08E-02;-0.74273002;0.742808537;-179.1669237;180.8330763;5
2;27.5;80;;3;-1.52E-02;-0.75049001;0.75064392;-178.8397223;181.1602777;5
3;27.4;82;2.5;3;0.15880799;-0.76555997;0.781858072;168.2807584;168.2807584;4
3;27.3;80;3.6;2;0.51386201;-0.80956;0.958875153;147.5949745;147.5949745;4
3;27.8;77;;4;0.70363301;-1.02639;1.244417874;145.5677423;145.5677423;4
4;27.2;82;5.3;3;1.1100399;-0.88705999;1.42093772;128.6292055;128.6292055;3
4;27.8;76;;3;1.3751;-0.76165003;1.571944903;118.9814991;118.9814991;3
4;27;80;;0;1.7723401;-0.58227998;1.865539977;108.1872851;108.1872851;3
4;26.7;82;;2;1.52907;-0.6322;1.654609291;112.4628402;112.4628402;3
4;26;78;;4;1.31934;-0.38672999;1.374852036;106.3371181;106.3371181;3
5;27.2;80;;4;1.37726;2.05E-02;1.377412559;89.14723672;89.14723672;2
5;27.2;79;;3;0.93082702;9.00E-02;0.935167868;84.47734057;84.47734057;2
5;26.5;77;;3;0.94233698;0.225135;0.968857447;76.5632592;76.5632592;2
5;26.8;78;0.1;3;1.23985;0.140948;1.247835871;83.51437352;83.51437352;2
5;26.5;78;;2;0.91166401;0.20553701;0.934546269;77.29493707;77.29493707;2
6;26.5;81;1.2;3;0.71530902;0.72222;1.016498265;44.7245503;44.7245503;1
6;25.2;86;3;4;0.70708698;1.23332;1.421636458;29.82650822;29.82650822;1
6;25.5;82;47.4;2;0.73164701;1.4139301;1.592013089;27.35958896;27.35958896;1
6;26.9;77;;2;0.66383702;1.40415;1.553163485;25.3032803;25.3032803;1
6;27.3;74;;3;0.37003499;1.5035501;1.548414931;13.82614843;13.82614843;1
6;27.4;78;;4;0.356062;1.41811;1.462127258;14.09457991;14.09457991;1
6;27.9;80;;4;0.48897699;1.36887;1.453583012;19.65734484;19.65734484;1
6;27.7;80;;5;0.370689;1.47068;1.516677288;14.14688759;14.14688759;1
6;25.9;84;;0;3.86E-02;1.56006;1.56053746;1.41735955;1.41735955;1
7;28.1;78;;2;-0.10629;1.63858;1.642023745;-3.711413678;356.2885863;8
7;27.1;79;0.3;3;-0.45242;1.7503;1.807825751;-14.4926863;345.5073137;8
7;27.9;76;21.3;3;-0.67717999;1.67788;1.809379461;-21.97863947;338.0213605;8
7;27.8;75;;4;-1.1851799;1.66754;2.045810609;-35.40276012;324.5972399;8
8;27;78;13.2;3;-1.86396;1.54808;2.42299372;-50.2892549;309.7107451;7
8;27.7;74;0.2;3;-2.4639201;1.49018;2.879503202;-58.8344321;301.1655679;7
8;28;76;;4;-2.3533299;1.09376;2.595086233;-65.07235118;294.9276488;7
8;26.8;77;30.6;2;-2.3154299;0.64704299;2.404138152;-74.38706883;285.6129312;7
8;26.3;81;;3;-2.0057099;0.222192;2.017979556;-83.67856416;276.3214358;7
1;27.5;77;12.5;3;-1.78602;-1.90E-02;1.78612106;-90.60949975;269.3905002;6
1;28.6;74;;3;-1.61279;-0.32115;1.644453984;-101.2618278;258.7381722;6
1;28.7;76;0.1;2;-1.38275;-0.55729997;1.490832257;-111.9512784;248.0487216;6
1;28.5;77;;2;-1.23657;-0.83157998;1.490178052;-123.920406;236.079594;6
2;29;76;;3;-0.94318998;-1.06706;1.424157429;-138.5260626;221.4739374;5
2;26.7;86;6;2;-0.66811001;-1.22376;1.394259489;-151.3677302;208.6322698;5
2;27.7;81;29.5;3;-0.29965001;-1.6331199;1.660382708;-169.6028368;190.3971632;5
2;26.4;85;;3;-0.1552;-1.80085;1.807525314;-175.074333;184.925667;5
3;28;74;1.2;3;0.56114799;-1.83597;1.919810644;163.0046912;163.0046912;4
3;28.3;77;;3;1.15201;-1.8262;2.159197416;147.755305;147.755305;4
4;28.3;79;2.2;3;1.66438;-1.57847;2.29384575;133.4824678;133.4824678;3
4;26.6;85;5.5;2;1.92404;-1.16518;2.249349762;121.1986918;121.1986918;3
4;25.9;89;0.9;3;2.11116;-0.62755001;2.20245671;106.5547735;106.5547735;3
4;26.3;90;3.5;2;2.1045499;-0.1143;2.107651482;93.10873119;93.10873119;3
5;27.3;85;15.4;3;1.94024;0.33879799;1.96959776;80.09507382;80.09507382;2
5;27.9;81;0;3;1.63823;0.66931802;1.769684759;67.77695605;67.77695605;2
5;26.2;82;24.1;2;1.53982;1.32594;2.032034083;49.26823753;49.26823753;2
6;27.3;84;1.6;3;1.2665;1.54891;2.000785955;39.27189767;39.27189767;1
6;27.3;85;14;2;0.94642699;1.63279;1.887253886;30.09820693;30.09820693;1
6;27.6;82;0;3;0.757792;1.67301;1.836630386;24.36820959;24.36820959;1
6;28.1;80;16.4;3;0.174413;1.46004;1.470420585;6.812140242;6.812140242;1
7;27.4;82;2.5;2;-0.17613;1.25485;1.267150464;-7.989805963;352.010194;8
7;27.1;83;0;3;-0.53250998;0.996207;1.129599604;-28.12617401;331.873826;8
8;28;79;84;3;-0.66852999;0.626086;0.915923592;-46.87776976;313.1222302;7
8;27.9;77;1.5;3;-0.60597003;0.314412;0.682681905;-62.57712695;297.4228731;7
8;27.9;76;0;3;-0.52784997;3.65E-02;0.529110424;-86.04438303;273.955617;7
1;27.9;79;1.6;4;-0.68855;-0.11104;0.697446044;-99.16101278;260.8389872;6
1;27.1;79;0.5;4;-0.66882998;-0.20614;0.69987659;-107.1298144;252.8701856;6
1;28.3;76;56;3;-0.49351999;-0.28856999;0.571694516;-120.3155921;239.6844079;6
2;28.2;76;0;3;-0.17722;-0.37255001;0.412553558;-154.5598228;205.4401772;5
2;27.1;82;0.2;3;-1.85E-02;-0.36816999;0.368634496;-177.1233909;182.8766091;5
